ds;y;Keys
01-2018;0.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;324.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-70700688-DCP Kyllingebryst 4xca.0.9 kg.???
03-2018;280.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80001642-DCP Skinke rund.kgt.rg. 1/2 4x2000-2400g???
04-2018;375.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80002528-DCP Kalkunbryst  paprika 2 x ca. 1.5 kg.???
05-2018;308.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80002531-DCP Kalkunbryst Carry 2xca. 1.5 kg.???
06-2018;302.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80002820-DCP PMM Kalkunbryst paprika 6x500g..???
07-2018;274.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004251-DCP Hamburgerryg 6x2/250g duopak..???
08-2018;341.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004252-DCP Hamburgerryg 3% 6x2/250g duopak..???
09-2018;364.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004254-DCP Kalkunbryst 6x2/250g duopak..???
10-2018;397.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004255-DCP Kamsteg 6x2/250g duopak..???
11-2018;358.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004256-DCP Kyllingebryst 6x2/250g duopak..???
12-2018;364.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004257-DCP Rullep?lse 6x2/250g duopak..??
13-2018;414.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004259-DCP R?get filet 6x2/250g duopak..??
14-2018;140.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004260-DCP Saltk?d 6x2/250g duopak..??
15-2018;330.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004262-DCP Skinke 6x500g..???
16-2018;341.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004263-DCP Skinke 6x2/250g duopak..???
17-2018;336.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004264-DCP Skinke Firkantet 6x2/250g duopak..???
18-2018;352.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004275-DCP Roastbeef 6x2/250g duopak..???
19-2018;296.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80004517-DCP Roastbeef. 4 x 1200-1800g.???
20-2018;341.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80005258-DCP ?ler?get skinke 6x2/250g duopak..?
21-2018;268.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97205-80007710-DCP Kalkunbryst kogt. r?get 2xca. 1.5 kg??
22-2018;369.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-70151305-DCP Rullep?lse 4 x 1200-1600g..??
23-2018;408.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-70700688-DCP Kyllingebryst 4xca.0.9 kg.???
24-2018;196.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80001642-DCP Skinke rund.kgt.rg. 1/2 4x2000-2400g???
25-2018;229.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80002528-DCP Kalkunbryst  paprika 2 x ca. 1.5 kg.???
26-2018;285.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80002531-DCP Kalkunbryst Carry 2xca. 1.5 kg.???
27-2018;257.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80002820-DCP PMM Kalkunbryst paprika 6x500g..???
28-2018;263.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004251-DCP Hamburgerryg 6x2/250g duopak..???
29-2018;257.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004252-DCP Hamburgerryg 3% 6x2/250g duopak..???
30-2018;296.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004254-DCP Kalkunbryst 6x2/250g duopak..???
31-2018;509.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004255-DCP Kamsteg 6x2/250g duopak..???
32-2018;414.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004256-DCP Kyllingebryst 6x2/250g duopak..???
33-2018;201.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004257-DCP Rullep?lse 6x2/250g duopak..??
34-2018;313.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004259-DCP R?get filet 6x2/250g duopak..??
35-2018;352.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004260-DCP Saltk?d 6x2/250g duopak..??
36-2018;240.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004262-DCP Skinke 6x500g..???
37-2018;380.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004263-DCP Skinke 6x2/250g duopak..???
38-2018;408.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004264-DCP Skinke Firkantet 6x2/250g duopak..???
39-2018;196.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004275-DCP Roastbeef 6x2/250g duopak..???
40-2018;464.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80004517-DCP Roastbeef. 4 x 1200-1800g.???
41-2018;319.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80005258-DCP ?ler?get skinke 6x2/250g duopak..?
42-2018;201.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80007710-DCP Kalkunbryst kogt. r?get 2xca. 1.5 kg??
43-2018;162.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80001642-DCP Skinke rund.kgt.rg. 1/2 4x2000-2400g???
44-2018;403.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80002820-DCP PMM Kalkunbryst paprika 6x500g..???
45-2018;324.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004251-DCP Hamburgerryg 6x2/250g duopak..???
46-2018;240.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004254-DCP Kalkunbryst 6x2/250g duopak..???
47-2018;319.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004255-DCP Kamsteg 6x2/250g duopak..???
48-2018;324.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004256-DCP Kyllingebryst 6x2/250g duopak..???
